system,requirement_caught,requirement_missed,requirement_false_alarm,requirement_total,requirement_miss_rate,policy_caught,policy_missed,policy_false_alarm,policy_total,policy_miss_rate
vanilla,26,58,15,84,0.6904761904761905,19,25,10,44,0.5681818181818182
mcp_uce,27,57,0,84,0.6785714285714286,19,25,0,44,0.5681818181818182
