a,b,metric,median_diff,mean_diff,statistic,p_value,cliffs_delta,n
uce,naive_edit,file_f1,0.0,0.19605392292892296,10.0,0.04066072250322513,0.2760416666666667,24
uce,naive_edit,req_f1,0.3333333333333333,0.4116161616161616,25.0,0.006320488337386965,0.5104166666666666,24
uce,naive_edit,pol_f1,0.4,0.4051587301587301,22.0,0.013399339579822341,0.4305555555555556,24
uce,lexical,file_f1,0.0,0.05466889470178943,19.0,0.3862707203664827,0.03819444444444445,24
uce,lexical,req_f1,0.04761904761904756,0.15973748473748473,33.0,0.12026186105565967,0.2170138888888889,24
uce,lexical,pol_f1,0.09523809523809523,0.16071428571428573,38.0,0.20270185578423439,0.2795138888888889,24
