system,n_scenarios,file_precision,file_recall,file_f1,requirement_precision,requirement_recall,requirement_f1,policy_precision,policy_recall,policy_f1,latency_ms_mean
naive_edit,24,0.25,0.06315789473684211,0.1008403361344538,0.0,0.0,0.0,0.0,0.0,0.0,0.0010041665821821273
lexical,24,0.3884297520661157,0.49473684210526314,0.4351851851851852,0.4642857142857143,0.3170731707317073,0.3768115942028986,0.46153846153846156,0.4864864864864865,0.47368421052631576,0.328612500197778
uce,24,0.2702702702702703,0.8421052631578947,0.40920716112531974,0.5714285714285714,0.2926829268292683,0.3870967741935484,0.68,0.4594594594594595,0.5483870967741935,19.721883333507623
